center,left,right,steering,throttle,brake,speed
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_58_05_821.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_58_05_821.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_58_05_821.jpg,0.1390978,1.0,0.0,30.18963
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_20_02_14_470.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_20_02_14_470.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_20_02_14_470.jpg,0.1879699,1.0,0.0,30.18931
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_59_09_887.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_59_09_887.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_59_09_887.jpg,0.09398497,1.0,0.0,30.19022
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_20_00_42_272.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_20_00_42_272.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_20_00_42_272.jpg,-0.2406015,1.0,0.0,30.1894
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_51_59_069.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_51_59_069.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_51_59_069.jpg,-0.06766918,1.0,0.0,30.1902
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_50_28_251.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_50_28_251.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_50_28_251.jpg,-0.131579,1.0,0.0,30.19062
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_20_01_40_514.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_20_01_40_514.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_20_01_40_514.jpg,0.02255639,1.0,0.0,30.19025
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_53_41_431.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_53_41_431.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_53_41_431.jpg,-0.01879699,1.0,0.0,30.19028
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_50_35_134.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_50_35_134.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_50_35_134.jpg,-0.04511278,1.0,0.0,30.1904
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_58_03_517.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_58_03_517.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_58_03_517.jpg,0.2067669,1.0,0.0,30.18995
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_20_01_53_660.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_20_01_53_660.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_20_01_53_660.jpg,0.1428571,1.0,0.0,30.18966
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_20_00_36_464.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_20_00_36_464.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_20_00_36_464.jpg,-0.007518797,1.0,0.0,30.19027
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_51_52_816.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_51_52_816.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_51_52_816.jpg,-0.08270676,1.0,0.0,30.18853
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_59_06_980.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_59_06_980.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_59_06_980.jpg,0.3233083,1.0,0.0,30.18214
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_52_37_638.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_52_37_638.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_52_37_638.jpg,-0.03007519,1.0,0.0,30.19028
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_51_48_424.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_51_48_424.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_51_48_424.jpg,-0.1691729,1.0,0.0,30.18855
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_51_08_494.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_51_08_494.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_51_08_494.jpg,-0.06390978,1.0,0.0,30.19031
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_53_39_114.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_53_39_114.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_53_39_114.jpg,-0.0112782,1.0,0.0,30.19025
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_20_01_25_017.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_20_01_25_017.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_20_01_25_017.jpg,0.007518797,1.0,0.0,30.19029
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_57_45_175.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_57_45_175.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_57_45_175.jpg,0.1766917,1.0,0.0,30.18963
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_20_02_14_964.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_20_02_14_964.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_20_02_14_964.jpg,0.2330827,1.0,0.0,30.18874
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_52_53_784.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_52_53_784.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_52_53_784.jpg,-0.1954887,1.0,0.0,30.1887
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_51_48_564.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_51_48_564.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_51_48_564.jpg,-0.1917293,1.0,0.0,30.1883
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_59_09_578.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_59_09_578.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_59_09_578.jpg,0.09398497,1.0,0.0,30.18896
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_20_00_48_872.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_20_00_48_872.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_20_00_48_872.jpg,0.112782,1.0,0.0,30.18962
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_58_59_295.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_58_59_295.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_58_59_295.jpg,0.07142857,1.0,0.0,30.1902
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_51_27_427.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_51_27_427.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_51_27_427.jpg,-0.05263158,1.0,0.0,30.19005
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_20_00_39_996.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_20_00_39_996.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_20_00_39_996.jpg,-0.131579,1.0,0.0,30.1894
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_57_36_866.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_57_36_866.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_57_36_866.jpg,0.1090226,1.0,0.0,20.08443
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_50_36_325.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_50_36_325.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_50_36_325.jpg,-0.04135338,1.0,0.0,30.19029
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_20_02_12_115.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_20_02_12_115.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_20_02_12_115.jpg,0.03383459,1.0,0.0,30.19014
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_52_51_527.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_52_51_527.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_52_51_527.jpg,-0.1541353,1.0,0.0,30.18848
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_59_50_873.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_59_50_873.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_59_50_873.jpg,0.09774436,1.0,0.0,30.18993
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_50_56_160.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_50_56_160.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_50_56_160.jpg,-0.03007519,1.0,0.0,30.19029
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_52_31_976.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_52_31_976.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_52_31_976.jpg,-0.09022556,1.0,0.0,30.19068
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_57_54_319.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_57_54_319.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_57_54_319.jpg,-0.2556391,1.0,0.0,30.18898
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_58_59_578.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_58_59_578.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_58_59_578.jpg,0.07142857,1.0,0.0,30.19018
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_50_30_826.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_50_30_826.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_50_30_826.jpg,-0.07894737,1.0,0.0,30.19024
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_20_00_41_412.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_20_00_41_412.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_20_00_41_412.jpg,-0.2706767,1.0,0.0,30.19033
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_50_32_549.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_50_32_549.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_50_32_549.jpg,-0.07894737,1.0,0.0,30.19015
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_59_48_467.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_59_48_467.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_59_48_467.jpg,0.09774436,1.0,0.0,30.19009
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_57_49_451.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_57_49_451.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_57_49_451.jpg,-0.07894737,1.0,0.0,30.19016
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_58_21_518.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_58_21_518.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_58_21_518.jpg,0.05263158,1.0,0.0,30.19025
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_50_48_361.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_50_48_361.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_50_48_361.jpg,-0.01503759,1.0,0.0,30.1903
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_59_27_025.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_59_27_025.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_59_27_025.jpg,0.2142857,1.0,0.0,30.18956
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_52_51_666.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_52_51_666.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_52_51_666.jpg,-0.1917293,1.0,0.0,30.18764
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_51_49_327.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_51_49_327.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_51_49_327.jpg,-0.1729323,1.0,0.0,30.19011
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_20_00_49_930.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_20_00_49_930.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_20_00_49_930.jpg,0.1954887,1.0,0.0,30.18888
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_52_46_902.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_52_46_902.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_52_46_902.jpg,-0.0112782,1.0,0.0,30.18996
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_20_00_12_416.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_20_00_12_416.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_20_00_12_416.jpg,0.02631579,1.0,0.0,30.19023
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_52_19_989.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_52_19_989.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_52_19_989.jpg,-0.03759398,1.0,0.0,30.19029
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_58_03_448.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_58_03_448.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_58_03_448.jpg,0.2067669,1.0,0.0,30.18891
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_53_24_048.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_53_24_048.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_53_24_048.jpg,-0.04135338,1.0,0.0,30.19027
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_59_13_625.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_59_13_625.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_59_13_625.jpg,-0.02631579,1.0,0.0,30.19022
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_53_14_207.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_53_14_207.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_53_14_207.jpg,-0.2105263,1.0,0.0,30.18889
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_54_26_220.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_54_26_220.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_54_26_220.jpg,0.1804511,1.0,0.0,30.18877
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_53_15_006.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_53_15_006.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_53_15_006.jpg,-0.1428571,1.0,0.0,30.18996
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_59_52_639.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_59_52_639.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_59_52_639.jpg,0.09774436,1.0,0.0,30.19008
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_59_27_952.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_59_27_952.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_59_27_952.jpg,0.2142857,1.0,0.0,30.18915
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_58_41_551.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_58_41_551.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_58_41_551.jpg,0.01879699,1.0,0.0,30.19029
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_20_01_58_867.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_20_01_58_867.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_20_01_58_867.jpg,0.06015037,1.0,0.0,30.19012
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_58_03_161.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_58_03_161.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_58_03_161.jpg,0.2067669,1.0,0.0,30.18869
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_51_07_725.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_51_07_725.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_51_07_725.jpg,-0.112782,1.0,0.0,30.18859
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_52_55_431.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_52_55_431.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_52_55_431.jpg,-0.1165414,1.0,0.0,30.19043
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_58_18_729.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_58_18_729.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_58_18_729.jpg,0.007518797,1.0,0.0,30.19029
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_53_10_896.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_53_10_896.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_53_10_896.jpg,-0.1278196,1.0,0.0,30.18974
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_20_01_46_385.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_20_01_46_385.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_20_01_46_385.jpg,0.07894737,1.0,0.0,30.18999
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_54_37_500.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_54_37_500.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_54_37_500.jpg,-0.1578947,1.0,0.0,30.18961
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_54_26_713.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_54_26_713.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_54_26_713.jpg,0.1917293,1.0,0.0,30.19034
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_53_33_328.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_53_33_328.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_53_33_328.jpg,-0.0112782,1.0,0.0,30.19031
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_59_18_358.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_59_18_358.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_59_18_358.jpg,-0.1954887,1.0,0.0,30.18942
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_54_43_334.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_54_43_334.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_54_43_334.jpg,-0.09774436,1.0,0.0,30.18993
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_50_56_797.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_50_56_797.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_50_56_797.jpg,-0.03007519,1.0,0.0,30.19025
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_58_23_780.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_58_23_780.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_58_23_780.jpg,0.05263158,1.0,0.0,30.19022
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_53_05_132.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_53_05_132.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_53_05_132.jpg,-0.131579,1.0,0.0,30.18645
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_58_04_615.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_58_04_615.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_58_04_615.jpg,0.1954887,1.0,0.0,30.19031
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_59_17_076.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_59_17_076.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_59_17_076.jpg,-0.2556391,1.0,0.0,30.18675
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_50_26_618.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_50_26_618.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_50_26_618.jpg,-0.1992481,1.0,0.0,22.17811
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_54_25_018.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_54_25_018.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_54_25_018.jpg,0.1240602,1.0,0.0,30.18982
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_50_42_163.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_50_42_163.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_50_42_163.jpg,-0.02255639,1.0,0.0,30.19028
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_58_24_914.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_58_24_914.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_58_24_914.jpg,0.09398497,1.0,0.0,30.19022
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_54_17_407.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_54_17_407.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_54_17_407.jpg,-0.1428571,1.0,0.0,30.19011
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_53_14_497.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_53_14_497.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_53_14_497.jpg,-0.1616541,1.0,0.0,30.19081
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_58_46_777.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_58_46_777.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_58_46_777.jpg,0.07142857,1.0,0.0,30.19001
