center,left,right,steering,throttle,brake,speed
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_08_28_866.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_08_28_866.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_08_28_866.jpg,0.25,1.0,0,30.17459
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_10_916.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_10_916.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_10_916.jpg,0.0,1.0,0,30.19307
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_21_36_382.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_21_36_382.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_21_36_382.jpg,0.0,1.0,0,30.19033
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_08_25_278.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_08_25_278.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_08_25_278.jpg,0.15,1.0,0,30.18426
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_14_484.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_14_484.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_14_484.jpg,0.1,1.0,0,30.18883
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_22_45_043.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_22_45_043.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_22_45_043.jpg,0.0,1.0,0,30.18961
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_08_27_894.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_08_27_894.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_08_27_894.jpg,0.0,1.0,0,30.19024
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_22_00_508.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_22_00_508.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_22_00_508.jpg,-0.2,1.0,0,30.18118
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_20_55_183.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_20_55_183.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_20_55_183.jpg,-0.15,1.0,0,30.18459
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_22_04_036.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_22_04_036.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_22_04_036.jpg,0.0,1.0,0,30.19022
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_22_22_859.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_22_22_859.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_22_22_859.jpg,-1.0,1.0,0,30.09333
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_43_072.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_43_072.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_43_072.jpg,0.1,1.0,0,30.18792
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_42_203.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_42_203.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_42_203.jpg,0.05,1.0,0,30.19026
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_08_08_433.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_08_08_433.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_08_08_433.jpg,0.0,1.0,0,30.19015
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_22_34_038.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_22_34_038.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_22_34_038.jpg,0.2,1.0,0,30.18363
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_20_38_621.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_20_38_621.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_20_38_621.jpg,-0.3,1.0,0,30.17215
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_06_06_227.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_06_06_227.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_06_06_227.jpg,-0.1,1.0,0,30.19273
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_09_55_803.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_09_55_803.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_09_55_803.jpg,0.15,1.0,0,30.18586
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_22_03_386.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_22_03_386.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_22_03_386.jpg,-0.15,1.0,0,30.18776
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_06_31_664.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_06_31_664.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_06_31_664.jpg,0.0,1.0,0,30.19029
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_09_13_141.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_09_13_141.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_09_13_141.jpg,0.0,1.0,0,30.19061
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_05_58_525.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_05_58_525.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_05_58_525.jpg,0.05,1.0,0,30.18991
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_08_31_037.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_08_31_037.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_08_31_037.jpg,0.0,1.0,0,30.19085
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_22_51_823.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_22_51_823.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_22_51_823.jpg,-0.3,1.0,0,30.16956
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_08_52_516.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_08_52_516.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_08_52_516.jpg,-0.3,1.0,0,30.1701
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_22_04_107.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_22_04_107.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_22_04_107.jpg,0.0,1.0,0,30.1903
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_20_57_807.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_20_57_807.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_20_57_807.jpg,0.0,1.0,0,30.18989
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_21_58_799.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_21_58_799.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_21_58_799.jpg,-0.3,1.0,0,30.17113
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_21_25_001.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_21_25_001.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_21_25_001.jpg,-0.15,1.0,0,30.18556
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_20_16_455.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_20_16_455.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_20_16_455.jpg,0.0,1.0,0,30.19027
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_21_403.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_21_403.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_21_403.jpg,0.25,1.0,0,30.18032
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_10_07_919.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_10_07_919.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_10_07_919.jpg,0.05,1.0,0,30.1899
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_06_40_843.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_06_40_843.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_06_40_843.jpg,0.15,1.0,0,30.18386
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_08_02_668.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_08_02_668.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_08_02_668.jpg,0.0,1.0,0,30.18992
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_22_48_292.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_22_48_292.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_22_48_292.jpg,0.0,1.0,0,30.19001
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_08_34_086.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_08_34_086.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_08_34_086.jpg,0.1,1.0,0,30.1881
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_20_41_280.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_20_41_280.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_20_41_280.jpg,0.0,1.0,0,30.19007
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_58_711.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_58_711.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_58_711.jpg,0.0,1.0,0,30.18921
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_21_07_509.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_21_07_509.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_21_07_509.jpg,0.2,1.0,0,30.17973
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_06_11_884.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_06_11_884.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_06_11_884.jpg,0.0,1.0,0,30.19015
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_22_38_369.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_22_38_369.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_22_38_369.jpg,0.0,1.0,0,30.19029
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_21_53_596.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_21_53_596.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_21_53_596.jpg,0.0,1.0,0,30.19017
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_10_32_397.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_10_32_397.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_10_32_397.jpg,0.0,1.0,0,30.19065
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_06_25_011.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_06_25_011.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_06_25_011.jpg,0.0,1.0,0,30.19064
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_21_44_368.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_21_44_368.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_21_44_368.jpg,0.0,1.0,0,30.19037
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_19_581.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_19_581.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_19_581.jpg,0.3,1.0,0,30.17392
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_06_45_735.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_06_45_735.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_06_45_735.jpg,0.0,1.0,0,30.19013
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_21_46_828.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_21_46_828.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_21_46_828.jpg,-0.1,1.0,0,30.18759
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_10_12_917.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_10_12_917.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_10_12_917.jpg,0.0,1.0,0,30.19021
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_06_06_153.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_06_06_153.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_06_06_153.jpg,0.0,1.0,0,30.18676
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_09_00_303.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_09_00_303.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_09_00_303.jpg,0.05,1.0,0,30.19014
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_06_36_385.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_06_36_385.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_06_36_385.jpg,0.1,1.0,0,30.18799
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_08_07_485.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_08_07_485.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_08_07_485.jpg,0.0,1.0,0,30.19023
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_08_55_149.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_08_55_149.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_08_55_149.jpg,-0.15,1.0,0,30.18516
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_30_157.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_30_157.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_30_157.jpg,-0.3,1.0,0,30.17389
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_10_19_836.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_10_19_836.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_10_19_836.jpg,0.0,1.0,0,30.19031
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_22_24_582.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_22_24_582.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_22_24_582.jpg,-0.1,1.0,0,30.18789
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_17_388.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_17_388.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_17_388.jpg,0.0,1.0,0,30.19056
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_37_591.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_37_591.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_37_591.jpg,0.3,1.0,0,30.17193
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_09_27_603.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_09_27_603.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_09_27_603.jpg,0.1,1.0,0,30.18872
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_20_19_484.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_20_19_484.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_20_19_484.jpg,0.0,1.0,0,30.19026
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_14_270.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_14_270.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_14_270.jpg,0.05,1.0,0,30.19021
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_06_34_196.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_06_34_196.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_06_34_196.jpg,0.1,1.0,0,30.18881
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_06_24_277.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_06_24_277.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_06_24_277.jpg,0.0,1.0,0,30.19062
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_44_432.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_44_432.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_44_432.jpg,0.0,1.0,0,30.38164
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_22_49_166.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_22_49_166.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_22_49_166.jpg,-0.15,1.0,0,30.18518
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_22_31_480.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_22_31_480.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_22_31_480.jpg,0.1,1.0,0,30.18796
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_06_16_522.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_06_16_522.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_06_16_522.jpg,0.15,1.0,0,30.19295
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_20_59_648.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_20_59_648.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_20_59_648.jpg,-0.05,1.0,0,30.19074
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_22_02_196.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_22_02_196.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_22_02_196.jpg,-0.15,1.0,0,30.18846
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_20_136.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_20_136.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_20_136.jpg,0.25,1.0,0,30.17728
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_09_59_187.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_09_59_187.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_09_59_187.jpg,0.25,1.0,0,30.17871
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_26_729.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_26_729.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_26_729.jpg,-0.05,1.0,0,30.19003
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_15_272.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_15_272.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_15_272.jpg,0.0,1.0,0,30.19025
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_22_17_140.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_22_17_140.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_22_17_140.jpg,0.0,1.0,0,30.06105
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_29_623.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_29_623.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_29_623.jpg,-0.6000001,1.0,0,30.13906
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_20_41_911.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_20_41_911.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_20_41_911.jpg,-0.15,1.0,0,30.18539
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_06_28_025.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_06_28_025.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_06_28_025.jpg,0.25,1.0,0,30.17527
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_08_54_865.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_08_54_865.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_08_54_865.jpg,-0.1,1.0,0,30.18921
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_58_288.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_58_288.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_58_288.jpg,0.0,1.0,0,30.19055
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_21_47_966.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_21_47_966.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_21_47_966.jpg,-0.05,1.0,0,30.18955
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_22_23_383.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_22_23_383.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_22_23_383.jpg,-0.1,1.0,0,30.18811
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_20_10_675.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_20_10_675.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_20_10_675.jpg,-0.15,1.0,0,30.18542
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_08_51_943.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_08_51_943.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_08_51_943.jpg,-0.5500001,1.0,0,30.13976
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_20_53_745.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_20_53_745.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_20_53_745.jpg,-0.2,1.0,0,30.18032
